name	lat	lon
Baku	40.395278	49.882222
Gəncə	40.682778	46.360556
Sumqayıt	40.589722	49.668611
Hacıvar	39.208067	45.446038
Şəki	41.191944	47.170556
Lənkəran	38.755947	48.84715
Yevlax	40.612732	47.142329
Göyçay	40.650555	47.74219
Tovuz	40.992487	45.628384
Qəbələ	40.982474	47.849092
Gədəbəy	40.570551	45.812288
Goranboy	40.610278	46.789722
Oğuz	41.07128	47.465284
Zaqatala	41.631596	46.644791
Mingəçevir	40.763947	47.059533
Xızı	40.905761	49.081268
Xırdalan	40.448085	49.755022
Heydərabad	39.722857	44.848458
Zəngilan	39.088401	46.6513
Ağstafa	41.114834	45.446825
Ucar	40.515671	47.654648
Göygöl	40.585838	46.318897
Xocavənd	39.795464	47.109891
Xaçmaz	41.464258	48.805652
Kəlbəcər	40.109842	46.04446
Yardımlı	38.907711	48.240521
Daşkəsən	40.523932	46.081863
Kürdəmir	40.345318	48.150847
Hacıqabul	40.038743	48.942865
Qax	41.418259	46.92043
Qazax	41.09246	45.365608
Tərtər	40.341794	46.932418
Biləsuvar	39.458333	48.545
Şəmkir	40.82975	46.017804
Qubadlı	39.344407	46.581834
Quba	41.361077	48.513411
Qusar	41.427496	48.4302
Babək	39.154592	45.442825
Füzuli	39.60094	47.14529
Cəbrayıl	39.399173	47.028345
Salyan	39.596214	48.984786
Xocalı	39.912973	46.790284
Astara	38.455977	48.87498
Culfa	38.95397	45.62961
Ağdaş	40.646987	47.473803
Lerik	38.773883	48.414969
Masallı	39.027781	48.670276
Ağdam	40.908483	45.554269
Beyləqan	39.775556	47.618611
Ağsu	40.569167	48.396476
Qobustan	40.533601	48.928193
Bərdə	40.375768	47.126191
Ordubad	38.90961	46.022737
Balakən	41.726258	46.40478
İsmayıllı	40.784846	48.151409
Şuşa	39.760057	46.749893
Samux	40.764854	46.408678
Ağcabədi	40.050146	47.459367
Ağdam	39.99096	46.927356
Dəvəçi	41.201166	48.987117
İmişli	39.872398	48.064928
Saatlı	39.932137	48.368919
Naxçıvan	39.208846	45.411887
Siyəzən	41.077538	49.112573
Şahbuz	39.407222	45.573889
Cəlilabad	39.209633	48.491862
Sabirabad	40.008688	48.47701
Neftçala	39.376798	49.246998
Laçın	39.643401	46.546206
Naftalan	40.508208	46.820302
Zərdab	40.219906	47.709968
Şərur	39.554358	44.982597
Qıvraq	39.399389	45.11513
